epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7060.41,0.52053,0.80246,0.43884,0.87493,0,0.91575,0.97214,0.9409,0.84308,0.91542,0.97181,0.94063,0.80159,0.46127,0.78358,0.31535,0.85459,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,7280.63,0.51234,0.7871,0.42824,0.87111,0,0.91336,0.96926,0.94193,0.84065,0.91336,0.96926,0.94189,0.80447,0.48181,0.79738,0.32205,0.86035,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,7501.34,0.51742,0.7956,0.43801,0.87678,0,0.91689,0.9865,0.94147,0.84631,0.91689,0.9865,0.94151,0.80769,0.46765,0.78162,0.31188,0.85644,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,7722.03,0.51296,0.78415,0.43433,0.87489,0,0.92287,0.98875,0.94303,0.8497,0.92177,0.98762,0.94236,0.80786,0.46434,0.77298,0.30238,0.86074,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,7942.28,0.51414,0.7824,0.41765,0.87373,0,0.92017,0.98427,0.93908,0.84632,0.92017,0.98427,0.93908,0.80745,0.4543,0.77342,0.30451,0.85598,0,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,8161.53,0.50938,0.77308,0.42327,0.87422,0,0.92546,0.97507,0.94429,0.85435,0.92546,0.97507,0.94429,0.8136,0.44911,0.76528,0.29919,0.85077,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,8384.85,0.5066,0.77555,0.42515,0.87251,0,0.9185,0.98752,0.94566,0.85403,0.9185,0.98752,0.94566,0.81405,0.45113,0.7717,0.30234,0.84989,0,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,8608.15,0.50691,0.77099,0.42309,0.87099,0,0.91988,0.98327,0.94351,0.8474,0.91902,0.98242,0.9428,0.80818,0.45517,0.78144,0.30707,0.85323,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,8831,0.50337,0.7767,0.42012,0.87111,0,0.91949,0.98581,0.9415,0.85065,0.91864,0.98496,0.94087,0.80861,0.4457,0.75142,0.30554,0.84693,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,9052.57,0.50246,0.76867,0.41688,0.87102,0,0.91679,0.98615,0.94182,0.8525,0.91523,0.9846,0.94064,0.80984,0.44866,0.77025,0.30388,0.84784,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,9275.07,0.49963,0.76383,0.41091,0.86803,0,0.92229,0.98697,0.94572,0.85497,0.92144,0.98612,0.94511,0.81438,0.45297,0.76392,0.30319,0.85442,0,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,9498.39,0.50052,0.76199,0.40923,0.86797,0,0.92827,0.97436,0.94509,0.85664,0.92827,0.97436,0.94509,0.81565,0.44566,0.75552,0.29287,0.85403,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,9717.17,0.49552,0.75726,0.40362,0.87034,0,0.92017,0.97261,0.94615,0.86046,0.91893,0.97133,0.94579,0.81731,0.4332,0.76844,0.29353,0.84249,0,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,9933.27,0.495,0.76104,0.40401,0.86856,0,0.92502,0.98523,0.94543,0.85928,0.92417,0.98438,0.94514,0.81643,0.43081,0.7438,0.28712,0.84263,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
